Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda,Entrega compilada:Contratos:Implementación:Fecha de fin
ocds-dgv273-seacev3-2025-1908-35,ocds-dgv273-seacev3-2025-1908-35-2026-05-31T10:14:57.100165-05:00,2334617,1100559-10440633868,26-2025,"CONTRATACION DE SUMINISTRO DE BIENES SIN FICHA TECNICA: FRUTAS, VERDURAS Y TUBERCULOS,PRODUCTOS SECOS, PAN Y PANETONCITOS, PRODUCTOS LACTEOS, PRODUCTOS CARNICOS, HIDROBIOLOGICOS Y EMBUTIDOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO, PERIODO ACADEMICO 2025, ITEM 1: FRUTAS",2025-06-20T00:00:00-05:00,2025-12-31T00:00:00-05:00,194,252550.0,PEN,Soles,2025-06-19T00:00:00-05:00,315687.5,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-35,ocds-dgv273-seacev3-2025-1908-35-2026-05-31T10:14:57.100165-05:00,2334648,1100559-10292692477,29-2025,"CONTRATACION DE SUMINISTRO DE BIENES SIN FICHA TECNICA: FRUTAS, VERDURAS Y TUBERCULOS,PRODUCTOS SECOS, PAN Y PANETONCITOS, PRODUCTOS LACTEOS, PRODUCTOS CARNICOS, HIDROBIOLOGICOS Y EMBUTIDOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO, PERIODO ACADEMICO 2025, ITEM 5: PRODUCTOS LACTEOS",2025-06-20T00:00:00-05:00,2025-12-31T00:00:00-05:00,194,347360.0,PEN,Soles,2025-06-19T00:00:00-05:00,434200.0,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-35,ocds-dgv273-seacev3-2025-1908-35-2026-05-31T10:14:57.100165-05:00,2334632,1100559-10440633868,27-2025,"CONTRATACION DE SUMINISTRO DE BIENES SIN FICHA TECNICA: FRUTAS, VERDURAS Y TUBERCULOS,PRODUCTOS SECOS, PAN Y PANETONCITOS, PRODUCTOS LACTEOS, PRODUCTOS CARNICOS, HIDROBIOLOGICOS Y EMBUTIDOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO, PERIODO ACADEMICO 2025, ITEM 2: VERDURAS Y TUBERCULOS",2025-06-20T00:00:00-05:00,2025-12-31T00:00:00-05:00,194,388742.5,PEN,Soles,2025-06-19T00:00:00-05:00,485928.13,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-35,ocds-dgv273-seacev3-2025-1908-35-2026-05-31T10:14:57.100165-05:00,2334611,1100559-10294369207,30-2025,"CONTRATACION DE SUMINISTRO DE BIENES SIN FICHA TECNICA: FRUTAS, VERDURAS Y TUBERCULOS,PRODUCTOS SECOS, PAN Y PANETONCITOS, PRODUCTOS LACTEOS, PRODUCTOS CARNICOS, HIDROBIOLOGICOS Y EMBUTIDOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO, PERIODO ACADEMICO 2025, ITEM 4: PAN Y PANETONCITOS",2025-06-20T00:00:00-05:00,2025-12-31T00:00:00-05:00,194,291314.0,PEN,Soles,2025-06-19T00:00:00-05:00,364142.5,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-35,ocds-dgv273-seacev3-2025-1908-35-2026-05-31T10:14:57.100165-05:00,2334642,1100559-10292692477,28,"CONTRATACION DE SUMINISTRO DE BIENES SIN FICHA TECNICA: FRUTAS, VERDURAS Y TUBERCULOS,PRODUCTOS SECOS, PAN Y PANETONCITOS, PRODUCTOS LACTEOS, PRODUCTOS CARNICOS, HIDROBIOLOGICOS Y EMBUTIDOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO, PERIODO ACADEMICO 2025, ITEM 3: PRODUCTOS SECOS",2025-06-20T00:00:00-05:00,2025-12-31T00:00:00-05:00,194,196561.0,PEN,Soles,2025-06-19T00:00:00-05:00,245701.25,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-35,ocds-dgv273-seacev3-2025-1908-35-2026-05-31T10:14:57.100165-05:00,2338583,1100559-20608490541,031-2025-UNSA,"CONTRATACIÓN DE SUMINISTRO DE BIENES SIN FICHA TÉCNICA: FRUTAS, VERDURAS Y TUBÉRCULOS, PRODUCTOS SECOS, PAN Y PANETONCITOS, PRODUCTOS LÁCTEOS, PRODUCTOS CÁRNICOS, HIDROBIOLÓGICOS Y EMBUTIDOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO. PERÍODO ACADÉMICO 2025",2025-06-28T00:00:00-05:00,2025-12-31T00:00:00-05:00,186,331333.6,PEN,Soles,2025-06-27T00:00:00-05:00,430733.68,PEN,Soles,
ocds-dgv273-seacev3-2025-1054-23,ocds-dgv273-seacev3-2025-1054-23-2026-05-31T10:14:57.061196-05:00,2330015,1096593-1656119,CONTRATO N° 53-2025-MDVA/GM,"CONTRATO DE EJECUCION DE OBRA:_ MEJORAMIENTO DE LOS SERVICIOS PUBLICOS DE INTEGRACION ECONOMICA Y SOCILA EN EL (PARQUE) DE LA URB. UNION MAJORITO DEL DISTRITO DE VISTA ALEGRE DE LA PROVINCIA DE NASCA DEL DEPARTAMENTO DE ICA, CON CUI N° 2599111.",2025-05-26T00:00:00-05:00,2025-08-25T00:00:00-05:00,91,854997.38,PEN,Soles,2025-05-23T00:00:00-05:00,875215.83,PEN,Soles,
ocds-dgv273-seacev3-2025-278-24,ocds-dgv273-seacev3-2025-278-24-2026-05-31T10:14:37.989860-05:00,2321999,1102635-1664256,CONTRATO N° 114-2025-OLOCP-MDNCH,"CONTRATO N° 111-2025-OLOCP-MDNCH, CONTRATACIÓN DEL SERVICIO DE CONSULTORÍA DE OBRA  PARA LA SUPERVISIÓN DE LA OBRA: ¿CREACION DEL CAMPO DEPORTIVO EN LA MZ. Q LOTE 1 EN EL A.H. LOS ANGELES DEL DISTRITO DE NUEVO CHIMBOTE - PROVINCIA DE SANTA - DEPARTAMENTO DE ANCASH¿, CUI N° 2567486.",2025-04-23T00:00:00-05:00,2025-10-20T00:00:00-05:00,180,193498.58,PEN,Soles,2025-04-22T00:00:00-05:00,235006.47999999998,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-36,ocds-dgv273-seacev3-2025-1908-36-2026-05-31T10:14:37.886948-05:00,2330259,1097641-20612304859,21-2025-UNSA,"CONTRATACION DE SUMINISTRO DE BIENES CON FICHA TECNICA: PRODUCTOS SECOS, FRUTAS, VERDURAS, TUBERCULOS, CARNICOS E HIDROBIOLOGICOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO, PERIODO ACADEMICO 2025.",2025-06-16T00:00:00-05:00,2025-12-29T00:00:00-05:00,196,649500.0,PEN,Soles,2025-06-16T00:00:00-05:00,811875.0,PEN,Soles,
ocds-dgv273-seacev3-2025-1908-36,ocds-dgv273-seacev3-2025-1908-36-2026-05-31T10:14:37.886948-05:00,2331351,1097641-10728526411,024-2025-UNSA,"CONTRATACIÓN DE SUMINISTRO DE BIENES CON FICHA TÉCNICA: PRODUCTOS SECOS, FRUTAS, VERDURAS, TUBÉRCULOS, CÁRNICOS E HIDROBIOLÓGICOS PARA EL ABASTECIMIENTO DEL COMEDOR UNIVERSITARIO. PERÍODO ACADÉMICO 2025.",2025-06-16T00:00:00-05:00,2025-12-31T00:00:00-05:00,198,80000.0,PEN,Soles,2025-06-16T00:00:00-05:00,100000.0,PEN,Soles,
