Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Contratos:ID del Contrato,Entrega compilada:Contratos:ID de Adjudicación,Entrega compilada:Contratos:Título del contrato,Entrega compilada:Contratos:Descripción del contrato,Entrega compilada:Contratos:Periodo:Fecha de inicio,Entrega compilada:Contratos:Periodo:Fecha de fin,Entrega compilada:Contratos:Periodo:Duración (días),Entrega compilada:Contratos:Valor:Monto,Entrega compilada:Contratos:Valor:Moneda,Entrega compilada:Contratos:Valor:Nombre de Moneda,Entrega compilada:Contratos:Fecha de firma,Entrega compilada:Contratos:Implementación:Fecha de fin,Entrega compilada:Contratos:Implementación:Valor final:Monto,Entrega compilada:Contratos:Implementación:Valor final:Moneda,Entrega compilada:Contratos:Implementación:Valor final:Nombre de Moneda
ocds-dgv273-seacev3-1109493,ocds-dgv273-seacev3-1109493-2026-06-01T10:02:50.069229-05:00,2343891,1109493-1705787,CONTRATO DE GERENCIA GENERAL REGIONAL N°  57-2025-GRA-GG,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: ¿MEJORAMIENTO DEL SERVICIO DE TRANSITABILIDAD VIAL INTERURBANA EN PE-08 B PTE SANTO TOMÁS- SANTO TOMÁS- SAN SALVADOR-SAN BARTOLOMELAUMAN, DISTRITO DE SANTO TOMÁS DE LA PROVINCIA DE LUYA DEL DEPARTAMENTO DE AMAZONASCUI N° 2608274",2025-08-28T00:00:00-05:00,2028-02-14T00:00:00-05:00,900,124200000.0,PEN,Soles,2025-08-25T00:00:00-05:00,2028-02-16T00:00:00-05:00,127184790.67,PEN,Soles
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,2382119,1115724-20502853750,CONTRATO N° 23-2026,ADQUISICION DE MATERIAL MEDICO ESPECIALIZADO PARA EL SERVICIO DE NEUROTRAUMA Y COLUMNA DEL DEPARTAMENTO DE NEUROCIRUGIA DEL HNGAI.,2026-03-27T00:00:00-05:00,2027-03-31T00:00:00-05:00,369,710832.0,PEN,Soles,2026-02-19T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,2382117,1115724-20100962439,CONTRATO N° 24-2026,ADQUISICION DE MATERIAL MEDICO ESPECIALIZADO PARA EL SERVICIO DE NEUROTRAUMA Y COLUMNA DEL DEPARTAMENTO DE NEUROCIRUGIA DEL HNGAI.,2026-03-27T00:00:00-05:00,2027-03-31T00:00:00-05:00,369,1313760.0,PEN,Soles,2026-02-19T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-2543-92,ocds-dgv273-seacev3-2025-2543-92-2026-06-01T10:02:50.041830-05:00,2382118,1115724-20516920123,CONTRATO N° 28-2026,ADQUISICION DE MATERIAL MEDICO ESPECIALIZADO PARA EL SERVICIO DE NEUROTRAUMA Y COLUMNA DEL DEPARTAMENTO DE NEUROCIRUGIA DEL HNGAI.,2026-03-27T00:00:00-05:00,2027-03-31T00:00:00-05:00,369,294600.0,PEN,Soles,2026-02-19T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1870-3,ocds-dgv273-seacev3-2025-1870-3-2026-05-31T10:14:57.147267-05:00,2325728,1106872-20409278753,001-2025-MDP,CONTRATO DE EJECUCION DE OBRA,2025-05-20T00:00:00-05:00,2025-07-20T00:00:00-05:00,61,260628.19,PEN,Soles,2025-05-19T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1922-123,ocds-dgv273-seacev3-2025-1922-123-2026-05-31T10:14:57.131270-05:00,2327982,1109536-20604953236,ORDEN DE SERVICIO N° 235-2025,SERVICIO DE SUSCRIPCIÓN DE LICENCIAS ZOOM PARA VIDEOCONFERENCIAS Y EVENTOS EN LÍNEA,2025-05-20T00:00:00-05:00,2026-05-20T00:00:00-05:00,365,91092.0,PEN,Soles,2025-05-16T00:00:00-05:00,,,,
ocds-dgv273-seacev3-1110696,ocds-dgv273-seacev3-1110696-2026-05-31T10:14:48.654479-05:00,2335768,1110696-1691060,10-2025,"CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA: ¿CREACION DEL SERVICIO DE LABORATORIO DE GASTRONOMIA Y HOTELERIA DE LA UNIVERSIDAD NACIONAL DE FRONTERA, DISTRITO DE SULLANA, PROVINCIA DE SULLANA, DEPARTAMENTO DE PIURA¿.",2025-07-08T00:00:00-05:00,2026-07-03T00:00:00-05:00,360,19197136.81,PEN,Soles,2025-07-07T00:00:00-05:00,2026-07-30T00:00:00-05:00,20910805.43,PEN,Soles
ocds-dgv273-seacev3-2025-2543-188,ocds-dgv273-seacev3-2025-2543-188-2026-05-31T10:14:37.963090-05:00,2392639,1110921-20510930038,55-2026,LICITACIÓN PÚBLICA Nº 15-2025-ESSALUD-RPA-1 (2506L00151) ¿ADQUISICIÓN DE MATERIAL MEDICO ESPECIALIZADO PARA EL SERVICIO DE RADIOLOGÍA GENERAL E INTERVENCIONISTA DEL HOSPITAL NACIONAL GUILLERMO ALMENARA IRIGOYEN ¿ ESSALUD¿ ¿ ITEM N° 19,2026-05-06T00:00:00-05:00,2027-05-06T00:00:00-05:00,365,351000.0,PEN,Soles,2026-04-27T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-2543-188,ocds-dgv273-seacev3-2025-2543-188-2026-05-31T10:14:37.963090-05:00,2392642,1110921-20502853750,54-2026,"LICITACIÓN PÚBLICA Nº 15-2025-ESSALUD-RPA-1 (2506L00151) ¿ADQUISICIÓN DE MATERIAL MEDICO ESPECIALIZADO PARA EL SERVICIO DE RADIOLOGÍA GENERAL E INTERVENCIONISTA DEL HOSPITAL NACIONAL GUILLERMO ALMENARA IRIGOYEN ¿ ESSALUD¿ ¿ ITEM N° 5,6 y 15",2026-05-06T00:00:00-05:00,2027-05-06T00:00:00-05:00,365,316957.44,PEN,Soles,2026-04-19T00:00:00-05:00,,,,
ocds-dgv273-seacev3-2025-1899-39,ocds-dgv273-seacev3-2025-1899-39-2026-05-31T10:14:19.002872-05:00,2331081,1112812-1678979,CONTRATO Nº 026-2025-UA-UNCP,"EJECUCIÓN DEL SALDO DE OBRA N° 02 DEL PI ¿CONSTRUCCIÓN, IMPLEMENTACIÓN Y EQUIPAMIENTO DEL PABELLÓN DE LABORATORIOS DE INVESTIGACIÓN CIENTÍFICA Y TECNOLÓGICA EN CIENCIAS AGRARIAS DE LA UNCP - SATIPO ¿ JUNÍN",2025-06-12T00:00:00-05:00,2025-10-24T00:00:00-05:00,134,4384041.42,PEN,Soles,2025-06-11T00:00:00-05:00,2025-12-10T00:00:00-05:00,4912897.48,PEN,Soles
ocds-dgv273-seacev3-2025-1852-77,ocds-dgv273-seacev3-2025-1852-77-2026-05-31T10:14:18.909516-05:00,2335445,1111106-1687518,CONTRATO N°025-2025,"CONTRATACIÓN DE LA EJECUCIÓN DE LA OBRA: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO SANITARIO EN LAS LOCALIDADES DE ILABAYA, MIRAVE Y TICAPAMPA, DISTRITO DE ILABAYA, PROVINCIA DE JORGE BASADRE, DEPARTAMENTO DE TACNA (ETAPA I)",2025-07-08T00:00:00-05:00,2026-05-03T00:00:00-05:00,299,16542271.19,PEN,Soles,2025-07-07T00:00:00-05:00,,16963554.84,PEN,Soles
ocds-dgv273-seacev3-2025-2388-32,ocds-dgv273-seacev3-2025-2388-32-2026-05-31T10:14:18.890651-05:00,2342989,1112490-1687538,CONTRATO N° 29-2025-EPS SEDAM HUANCAYO S.A,"CONTRATACION DE EJECUCION DE OBRA: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE TRATAMIENTO DE AGUA POTABLE PARA AREA METROPOLITANA DE LA PROVINCIA DE HUANCAYO (DISTRITOS DE HUANCAYO, TAMBO Y CHILCA)- ADMINISTRACION DE SEDAM HUANCAYO S.A PROVINCIA DE HUANCAYO, DEPARTAMENTO DE JUNIN CON CUI N° 2313512",2025-09-15T00:00:00-05:00,2026-10-15T00:00:00-05:00,395,35715679.49,PEN,Soles,2025-07-10T00:00:00-05:00,,,,
